"current"	{"status":"loading"}	current
"current"	{"status":"error"}	current
"current"	{"status":"ready","available":false}	current
"current"	{"status":"ready","available":true}	current
"current"	shouldQuery	false
"preview"	{"status":"loading"}	loading
"preview"	{"status":"error"}	current
"preview"	{"status":"ready","available":false}	current
"preview"	{"status":"ready","available":true}	preview
"preview"	shouldQuery	true
null	{"status":"loading"}	loading
null	{"status":"error"}	current
null	{"status":"ready","available":false}	current
null	{"status":"ready","available":true}	preview
null	shouldQuery	true
""	{"status":"loading"}	loading
""	{"status":"error"}	current
""	{"status":"ready","available":false}	current
""	{"status":"ready","available":true}	preview
""	shouldQuery	true
"banana"	{"status":"loading"}	loading
"banana"	{"status":"error"}	current
"banana"	{"status":"ready","available":false}	current
"banana"	{"status":"ready","available":true}	preview
"banana"	shouldQuery	true
