ts	phase	decision	why	evidence	result
2026-09-05T05:57:18.189786+00:00	implementation	Assess and reuse selected candidate product files	Current story explicitly permits reviewed reuse	44b702478781d278d8f7626285d55ec9dbb4a5cf	Further corrections and fresh gates required
2026-09-05T06:03:36.836046+00:00	implementation	Require actual answer text for final-message feedback mapping	Tool-only trailing records must not steal a completed turn rating	src/lib/components/chat/AgentChatPanel.svelte:365	Browser regression passes
2026-09-05T06:03:36.836046+00:00	implementation	Omit chips with no title or science metadata	Stored output cannot support invented source identity	src/lib/chat/turnParts.ts:268	Parser regression passes
2026-09-05T06:03:36.836046+00:00	implementation	Gate feedback reads and actions on internal viewer and settled query	Loading or ineligible viewers cannot submit prematurely	src/lib/components/chat/AgentChatPanel.svelte:379	Browser auth and loading regressions pass
2026-09-05T06:03:36.836046+00:00	codegen	Run supported Convex codegen	Generated API must never be hand edited	.audit/CAP-7-story-5/codegen.log	Exit 0; also reconciles preexisting missing module registrations
2026-09-05T06:03:36.836046+00:00	verification	Run canonical full Chromium command	Audit screenshot harness is not a replacement acceptance gate	.audit/CAP-7-story-5/component-tests.log	340 tests pass
2026-09-05T06:03:36.836046+00:00	verification	Compare protected modules and native ledger with baseline	Story prohibits changes to those bytes	.audit/CAP-7-story-5/protected-final.json	All equal
2026-09-05T06:18:37.460425+00:00	repair	Selectively reuse assessed candidate product files	Current spec permits reuse but requires amendments; excluded historical spec and generated API	44b702478781d278d8f7626285d55ec9dbb4a5cf	Product patch re-derived
2026-09-05T06:18:37.460908+00:00	repair	Use a bounded versioned metadata envelope at output start	Exemplar bodies may contain forged reference headers	convex/ai/brain/retrieve.ts:414	Only title/science fields supply source labels
2026-09-05T06:18:37.460916+00:00	repair	Snapshot deidentified learning context before truncation at vote time	Live project renames/deletion and truncation must not expose original identifiers	convex/chatFeedback.ts:55	Original bounded context retained; legacy missing snapshots omitted
2026-09-05T06:18:37.460921+00:00	repair	Keep a stable primitive key for feedback subscription dependencies	convex-svelte subscribes again when argument dependencies change	src/lib/components/chat/AgentChatPanel.svelte:380	Streaming parts cannot churn unchanged turn-ID subscriptions
2026-09-05T06:18:37.460925+00:00	repair	Retain and extend prior review regression coverage	Preservation commit predates some review.diff tests	.audit/CAP-7-story-5/review.diff	Exact-order, bounded context, metadata, auth and tool-only regressions retained
2026-09-05T06:18:37.460929+00:00	codegen	Run supported Convex codegen	Generated declarations must not be edited manually	.audit/CAP-7-story-5/repair-codegen.log	Exit 0
2026-09-05T06:31:13.946680+00:00	final-review-patch	Bound only the new chat digest stream to 20 newest rows and 500/1000-character sanitized excerpts	Avoid read-byte and provider-context limits while keeping admission and freshness on one selected window	convex/chatFeedback.ts:12	Implemented and covered by final-patch gates
